sku;fechaIni;fechaFin
23;20190111;20190307
29;20140613;20140713
41;20180507;20180611
40;20120613;20120816
36;20201112;20201209
31;20110104;20110111
43;20140613;20140713
49;20200825;20200909
37;20210311;20210407
43;20141122;20150112
38;20200511;20200611
1;20160610;20160710
49;20160401;20160430
38;20140828;20141028
35;20160401;20160430
11;20200910;20201007
16;20160509;20160609
2;20110112;20110223
35;20210311;20210407
21;20200825;20200909
35;20161117;20170109
22;20170905;20171004
33;20141029;20141121
33;20120927;20121121
34;20190426;20190515
3;20190516;20190613
10;20151009;20151117
10;20191108;20191208
10;20190308;20190328
41;20180305;20180405
45;20170613;20170713
29;20201008;20201108
29;20170420;20170520
17;20191210;20200110
17;20160610;20160710
36;20170420;20170520
15;20141029;20141121
15;20110424;20110616
19;20130819;20130919
49;20111125;20120111
24;20210506;20210606
15;20190819;20190905
46;20180906;20181007
38;20150113;20150312
15;20201008;20201108
1;20181213;20190110
4;20210923;20211020
50;20160401;20160430
22;20160401;20160430
32;20201008;20201108
2;20180406;20180506
18;20210614;20210714
20;20210311;20210407
2;20181213;20190110
2;20200724;20200824
6;20130312;20130405
27;20210114;20210307
34;20210506;20210606
5;20120112;20120313
34;20130614;20130816
27;20150113;20150312
40;20181213;20190110
47;20210816;20210831
36;20180108;20180306
28;20200324;20200414
46;20201008;20201108
15;20130312;20130405
15;20171106;20171206
43;20200324;20200414
8;20201112;20201209
2;20150901;20151008
42;20190329;20190425
2;20210506;20210606
18;20180108;20180306
35;20180305;20180405
35;20200825;20200909
50;20180305;20180405
22;20200612;20200625
34;20191210;20200110
10;20120613;20120816
25;20210603;20210630
34;20170316;20170416
34;20200910;20201007
10;20200324;20200414
48;20181112;20181212
40;20140613;20140713
40;20110112;20110223
31;20151118;20160110
23;20210923;20211020
45;20180611;20180711
31;20190111;20190307
17;20150313;20150409
40;20180108;20180303
47;20140828;20141028
48;20180712;20180812
46;20110424;20110616
39;20160307;20160331
46;20210311;20210407
24;20181213;20190110
26;20190715;20190815
32;20200324;20200414
14;20150113;20150312
14;20170817;20170904
4;20150313;20150409
42;20190614;20190714
2;20191210;20200110
2;20180611;20180711
5;20180108;20180303
34;20160817;20160831
25;20200716;20200812
34;20111125;20120111
34;20180611;20180711
6;20190516;20190613
3;20170613;20170713
34;20171005;20171105
5;20110112;20110223
10;20110112;20110223
31;20200910;20201007
28;20190906;20191006
48;20200626;20200723
40;20140116;20140321
28;20170110;20170306
17;20111125;20120111
29;20210816;20210831
36;20211021;20211117
29;20160610;20160710
45;20151118;20160110
29;20151118;20160110
31;20130112;20130311
36;20160112;20160306
45;20141122;20150112
30;20201210;20210113
37;20200324;20200414
19;20200113;20200305
15;20190715;20190815
12;20201112;20201209
49;20200724;20200824
14;20200511;20200611
26;20170110;20170306
26;20191007;20191107
50;20210715;20210815
35;20210923;20211020
20;20160401;20160430
26;20111125;20120111
42;20191108;20191208
42;20200324;20200414
8;20150901;20151008
11;20211021;20211117
26;20110424;20110616
16;20160901;20160930
34;20200724;20200824
10;20181112;20181212
6;20110424;20110616
9;20190111;20190307
36;20190906;20191006
41;20201008;20201108
41;20170316;20170416
28;20180108;20180303
45;20191007;20191107
29;20191108;20191208
