sku;fecha;udsStock
32;20200715;80
32;20200716;40
32;20200717;16
32;20200718;0
32;20200719;0
32;20200720;0
32;20200721;132
32;20200722;124
32;20200723;96
32;20200724;80
32;20200725;72
32;20200726;64
32;20200727;64
32;20200728;116
32;20200729;104
32;20200730;96
32;20200731;76
32;20200801;60
32;20200802;52
32;20200803;52
32;20200804;128
32;20200805;116
32;20200806;96
32;20200807;72
32;20200808;44
32;20200809;40
32;20200810;40
32;20200811;140
32;20200812;128
32;20200813;112
32;20200814;92
32;20200815;84
32;20200816;80
32;20200817;80
32;20200818;72
32;20200819;136
32;20200820;124
32;20200821;100
32;20200822;80
32;20200823;76
32;20200824;76
32;20200825;148
32;20200826;136
32;20200827;108
32;20200828;108
32;20200829;92
32;20200830;84
32;20200831;84
32;20200901;184
32;20200902;168
32;20200903;152
32;20200904;144
32;20200905;132
32;20200906;124
32;20200907;124
32;20200908;176
32;20200909;164
32;20200910;148
32;20200911;124
32;20200912;124
32;20200913;124
32;20200914;124
32;20200915;156
32;20200916;140
32;20200917;116
32;20200918;108
32;20200919;104
32;20200920;88
32;20200921;88
32;20200922;140
32;20200923;136
32;20200924;132
32;20200925;116
32;20200926;112
32;20200927;96
32;20200928;96
32;20200929;132
32;20200930;120
32;20201001;108
32;20201002;104
32;20201003;76
32;20201004;60
32;20201005;60
32;20201006;168
32;20201007;160
32;20201008;148
32;20201009;136
32;20201010;128
32;20201011;128
32;20201012;128
32;20201013;224
32;20201014;208
32;20201015;192
32;20201016;176
32;20201017;172
32;20201018;164
32;20201019;164
32;20201020;160
32;20201021;160
32;20201022;140
32;20201023;136
32;20201024;128
32;20201025;112
32;20201026;112
32;20201027;152
32;20201028;132
32;20201029;124
32;20201030;108
32;20201031;104
32;20201101;92
32;20201102;92
32;20201103;152
32;20201104;148
32;20201105;148
32;20201106;132
32;20201107;116
32;20201108;108
32;20201109;108
32;20201110;96
32;20201111;92
32;20201112;84
32;20201113;80
32;20201114;68
32;20201115;48
32;20201116;48
32;20201117;108
32;20201118;88
32;20201119;72
32;20201120;64
32;20201121;40
32;20201122;36
32;20201123;36
32;20201124;140
32;20201125;136
32;20201126;112
32;20201127;100
32;20201128;92
32;20201129;80
3;20200815;560
3;20200816;552
3;20200817;552
3;20200818;480
3;20200819;464
3;20200820;448
3;20200821;440
3;20200822;400
3;20200823;392
3;20200824;392
3;20200825;356
3;20200826;392
3;20200827;376
3;20200828;356
3;20200829;324
3;20200830;324
3;20200831;324
3;20200901;300
3;20200902;292
3;20200903;252
3;20200904;244
3;20200905;224
3;20200906;176
3;20200907;176
3;20200908;112
3;20200909;584
3;20200910;568
3;20200911;556
3;20200912;544
3;20200913;528
3;20200914;528
3;20200915;508
3;20200916;496
3;20200917;476
3;20200918;448
3;20200919;432
3;20200920;392
3;20200921;392
3;20200922;372
3;20200923;412
3;20200924;400
3;20200925;392
3;20200926;376
3;20200927;372
3;20200928;372
3;20200929;352
3;20200930;340
3;20201001;320
3;20201002;312
3;20201003;300
3;20201004;284
3;20201005;284
3;20201006;276
3;20201007;560
3;20201008;528
3;20201009;524
3;20201010;504
3;20201011;496
3;20201012;496
3;20201013;496
3;20201014;456
3;20201015;432
3;20201016;400
3;20201017;368
3;20201018;344
3;20201019;344
3;20201020;328
3;20201021;432
3;20201022;416
3;20201023;336
3;20201024;312
3;20201025;280
3;20201026;280
3;20201027;260
3;20201028;256
3;20201029;244
3;20201030;208
3;20201031;192
3;20201101;184
3;20201102;184
3;20201103;180
3;20201104;308
3;20201105;288
3;20201106;248
3;20201107;228
3;20201108;200
3;20201109;200
3;20201110;184
3;20201111;168
3;20201112;164
3;20201113;148
3;20201114;136
3;20201115;128
3;20201116;128
3;20201117;124
3;20201118;336
3;20201119;332
3;20201120;352
3;20201121;348
3;20201122;328
3;20201123;328
3;20201124;320
3;20201125;316
3;20201126;316
3;20201127;316
3;20201128;308
